model_size,FLOP,loss,num_tokens,d_model,n_layers
1265595820.7944248,5.532362693545165e+20,2.370154554190775,72855838631.4368,2048.0,22.0
1592875536.6986184,7.408667745290474e+20,2.331416878272676,77518797238.08199,2048.0,28.0
1609082737.1451895,8.55333463008578e+20,2.3209590623040324,88594311452.88171,2176.0,25.0
1793812739.8036008,9.589465114187178e+20,2.303640402958185,89097604796.40979,2176.0,28.0
1143254386.0424843,5.4730026044124063e+20,2.370154554190775,79786888366.37485,1792.0,26.0
816343229.4068599,5.497154483066788e+20,2.398733033445379,112231274890.36118,1536.0,25.0
632225315.1050493,5.445776352120002e+20,2.445912595343321,143561064439.37482,1536.0,19.0
1143254386.0424843,2.7871384972606695e+20,2.434941196776266,40631646687.55674,1792.0,26.0
816343229.4068599,2.809168861116504e+20,2.434941196776266,57352691039.80514,1536.0,25.0
586599437.7048118,2.7039559398486625e+20,2.464300850287136,76825733940.59251,1408.0,21.0
424610584.80864125,2.8377990114178227e+20,2.5165346421087142,111388297613.00502,1280.0,18.0
2979527510.4183035,2.945119538586171e+21,2.21231255030845,164741978288.40198,2560.0,34.0
2638636453.9830055,2.9558018830090366e+21,2.205693537488266,186700083834.7948,2560.0,30.0
1793812739.8036008,9.527952889499e+20,2.303640402958185,88526082629.0986,2176.0,28.0
1609082737.1451895,9.774573522063334e+20,2.314014990235024,101243742748.79565,2176.0,25.0
1429235619.7955678,9.637196013851186e+20,2.331416878272676,112381703436.10725,2048.0,25.0
1265595820.7944248,9.739615342991392e+20,2.331416878272676,128261266129.41559,2048.0,22.0
488546662.30395746,1.3815490029252502e+20,2.554520985765487,47131253761.58018,1280.0,21.0
586599437.7048118,1.830191498447706e+20,2.5052520841348382,52000035595.235085,1408.0,21.0
663958004.5571333,2.192158510446852e+20,2.475404538069587,55027539277.10241,1408.0,24.0
1143254386.0424843,4.0834270915706035e+20,2.387978623765955,59529286765.679054,1792.0,26.0
816343229.4068599,2.953042590959414e+20,2.445912595343321,60290052937.354164,1536.0,25.0
2006678124.1453764,1.4991529113588075e+21,2.265984744495722,124513650472.07735,2304.0,28.0
1730547097.4430106,1.296638617414313e+21,2.286445840825226,124877523735.14095,2304.0,24.0
2282809197.457954,1.7950361606125186e+21,2.249076295522973,131054620670.25429,2304.0,32.0
2638636453.9830055,2.3081234654682127e+21,2.2222808250152344,145790165092.28433,2560.0,30.0
2979527510.4183035,2.621010581856978e+21,2.21231255030845,146612204602.47894,2560.0,34.0
6795614805.310381,1.2956022673438285e+22,2.0773942450664395,317754489343.9688,3584.0,40.0
